method,test_id,prediction,ground_truth,duration
Pure Embedding,positive_001,False,True,0.08486175537109375
Standard RAG,positive_001,False,True,84.62201738357544
Hybrid RAG,positive_001,True,True,125.34211134910583
Pure Embedding,negative_001,True,False,0.05233621597290039
Standard RAG,negative_001,True,False,76.66779398918152
Hybrid RAG,negative_001,False,False,109.1678261756897
Pure Embedding,positive_002,False,True,0.10199975967407227
Standard RAG,positive_002,False,True,96.47902703285217
Hybrid RAG,positive_002,False,True,113.35071277618408
Pure Embedding,negative_002,False,False,0.05099892616271973
Standard RAG,negative_002,True,False,69.99716281890869
Hybrid RAG,negative_002,False,False,92.69853329658508
Pure Embedding,positive_003,False,True,0.09766840934753418
Standard RAG,positive_003,True,True,58.95666289329529
Hybrid RAG,positive_003,False,True,91.58641338348389
Pure Embedding,negative_003,False,False,0.13585257530212402
Standard RAG,negative_003,False,False,81.0339024066925
Hybrid RAG,negative_003,False,False,120.29368257522583
Pure Embedding,positive_004,True,True,0.13599467277526855
Standard RAG,positive_004,False,True,59.872987270355225
Hybrid RAG,positive_004,False,True,142.22822308540344
Pure Embedding,negative_004,False,False,0.0289914608001709
Standard RAG,negative_004,True,False,55.98716163635254
Hybrid RAG,negative_004,True,False,98.11577844619751
Pure Embedding,positive_005,False,True,0.11689257621765137
Standard RAG,positive_005,False,True,75.0237205028534
Hybrid RAG,positive_005,False,True,113.67525672912598
Pure Embedding,negative_005,False,False,0.12070560455322266
Standard RAG,negative_005,False,False,75.9183030128479
Hybrid RAG,negative_005,False,False,125.83534908294678
Pure Embedding,positive_006,False,True,0.1126871109008789
Standard RAG,positive_006,True,True,69.2098183631897
Hybrid RAG,positive_006,False,True,109.4181056022644
Pure Embedding,negative_006,True,False,0.11037468910217285
Standard RAG,negative_006,True,False,59.7570013999939
Hybrid RAG,negative_006,True,False,97.72684502601624
Pure Embedding,positive_007,False,True,0.10305976867675781
Standard RAG,positive_007,True,True,90.89271640777588
Hybrid RAG,positive_007,False,True,145.1447138786316
Pure Embedding,negative_007,False,False,0.08858609199523926
Standard RAG,negative_007,True,False,64.84401273727417
Hybrid RAG,negative_007,True,False,103.67841815948486
Pure Embedding,positive_008,True,True,0.11204290390014648
Standard RAG,positive_008,False,True,93.49584484100342
Hybrid RAG,positive_008,False,True,141.0272090435028
Pure Embedding,negative_008,False,False,0.10149407386779785
Standard RAG,negative_008,False,False,78.63210225105286
Hybrid RAG,negative_008,False,False,114.063232421875
Pure Embedding,positive_009,False,True,0.11148905754089355
Standard RAG,positive_009,False,True,70.90867328643799
Hybrid RAG,positive_009,False,True,105.1567690372467
Pure Embedding,negative_009,True,False,0.1277005672454834
Standard RAG,negative_009,True,False,78.06437420845032
Hybrid RAG,negative_009,False,False,124.27554988861084
Pure Embedding,positive_010,False,True,0.12296438217163086
Standard RAG,positive_010,False,True,82.97463583946228
Hybrid RAG,positive_010,False,True,128.27403116226196
Pure Embedding,negative_010,False,False,0.056002140045166016
Standard RAG,negative_010,True,False,74.73643922805786
Hybrid RAG,negative_010,True,False,254.12636256217957
Pure Embedding,positive_011,False,True,0.035004377365112305
Standard RAG,positive_011,True,True,58.870243072509766
Hybrid RAG,positive_011,False,True,101.26423501968384
Pure Embedding,negative_011,True,False,0.06700611114501953
Standard RAG,negative_011,False,False,93.84222483634949
Hybrid RAG,negative_011,False,False,112.4010956287384
Pure Embedding,positive_012,False,True,0.03499603271484375
Standard RAG,positive_012,True,True,64.13465881347656
Hybrid RAG,positive_012,True,True,104.89529967308044
Pure Embedding,negative_012,True,False,0.07199954986572266
Standard RAG,negative_012,True,False,262.22724533081055
Hybrid RAG,negative_012,True,False,131.92948651313782
Pure Embedding,positive_013,False,True,0.08099865913391113
Standard RAG,positive_013,False,True,101.51609945297241
Hybrid RAG,positive_013,False,True,269.7874848842621
Pure Embedding,negative_013,True,False,0.04598855972290039
Standard RAG,negative_013,True,False,85.82311344146729
Hybrid RAG,negative_013,False,False,112.84001064300537
Pure Embedding,positive_014,False,True,0.0360102653503418
Standard RAG,positive_014,False,True,91.60110092163086
Hybrid RAG,positive_014,False,True,98.97317910194397
Pure Embedding,negative_014,True,False,0.04099726676940918
Standard RAG,negative_014,False,False,71.75463795661926
Hybrid RAG,negative_014,False,False,135.56962037086487
Pure Embedding,positive_015,False,True,0.040004730224609375
Standard RAG,positive_015,True,True,62.171725034713745
Hybrid RAG,positive_015,True,True,124.87406873703003
Pure Embedding,negative_015,False,False,0.03599810600280762
Standard RAG,negative_015,True,False,78.61880850791931
Hybrid RAG,negative_015,False,False,371.094783782959
